Plasmid	End1	End2	Chromosome	Start	End	Length
PTQ491	x1	y1	chromosome_8	3364838	3401687	36850
PTQ493	y1	x1	chromosome_11	346520	411258	64739
PTQ494	y1	x1	chromosome_2	8064042	8066321	2280
PTQ495	x1	y1	chromosome_6	1573836	1615565	41730
PTQ496	x1	y1	chromosome_6	7968664	8047795	79132
PTQ497	y1	x1	chromosome_9	6848338	6930039	81702
PTQ501	x1	y1	chromosome_12	8154160	8216195	62036
PTQ503	y1	x1	chromosome_6	1847524	1899285	51762
PTQ504	y1	x1	chromosome_8	4073031	4156107	83077
PTQ505	y1	x1	chromosome_2	6387025	6426242	39218
PTQ509	x1	y1	chromosome_6	3225988	3274248	48261
PTQ513	y1	x1	chromosome_17	4536997	4580703	43707
PTQ514	y1	x1	chromosome_17	6676998	6754788	77791
PTQ517	x1	y1	chromosome_1	4426815	4466757	39943
PTQ518	y1	x1	chromosome_6	4410389	4433520	23132
PTQ519	x1	y1	chromosome_13	3649335	3737766	88432
PTQ520	x1	y1	chromosome_12	6543313	6605277	61965
PTQ521	x1	y1	chromosome_10	2632387	2662836	30450
PTQ522	y1	x1	chromosome_3	3457961	3548057	90097
PTQ525	y1	x1	chromosome_1	1621587	1686734	65148
PTQ526	y1	x1	chromosome_9	1810618	1888389	77772
PTQ529	x1	y1	chromosome_2	5226702	5248687	21986
PTQ531	x1	y1	chromosome_16	2858324	2929929	71606
PTQ538	x1	y1	chromosome_9	6544849	6554839	9991
PTQ539	x1	y1	chromosome_7	2262952	2314496	51545
PTQ540	y1	x1	chromosome_12	124271	180959	56689
PTQ541	y1	x1	chromosome_12	4578832	4622427	43596
PTQ542	x1	y1	chromosome_17	2407749	2477455	69707
PTQ543	y1	x1	chromosome_11	2727033	2759484	32452
PTQ544	y1	x1	chromosome_14	1178717	1199216	20500
PTQ545	x1	y1	chromosome_2	8236739	8306277	69539
PTQ546	x1	y1	chromosome_12	1263440	1393437	129998
PTQ547	y1	x1	chromosome_1	2469267	2522457	53191
PTQ548	y1	x1	chromosome_13	4635455	4664829	29375
PTQ549	x1	y1	chromosome_12	4801928	4854602	52675
PTQ550	x1	y1	chromosome_4	1897228	1963437	66210
PTQ551	y1	x1	chromosome_11	2408268	2417608	9341
PTQ552	y1	x1	scaffold_30	14124	50492	36369
PTQ553	y1	x1	chromosome_6	5346666	5378347	31682
PTQ555	x1	y1	chromosome_12	3972409	4033112	60704
PTQ558	y1	x1	chromosome_17	3333340	3362554	29215
PTQ561	y1	x1	chromosome_1	6659656	6687277	27622
PTQ563	y1	x1	chromosome_2	5029168	5111770	82603
PTQ565	x1	y1	chromosome_10	2280838	2322189	41352
PTQ566	x1	y1	chromosome_17	2253684	2293786	40103
PTQ568	y1	x1	chromosome_17	5587845	5657359	69515
PTQ570	x1	y1	chromosome_16	6809140	6916734	107595
PTQ571	y1	x1	chromosome_4	3113154	3169835	56682
PTQ572	x1	y1	chromosome_12	1370415	1439492	69078
PTQ573	x1	y1	chromosome_2	1671761	1764576	92816
PTQ575	y1	x1	chromosome_17	1843740	1947409	103670
PTQ576	y1	x1	chromosome_13	2297570	2330569	33000
PTQ585	x1	y1	chromosome_7	4505507	4551109	45603
PTQ587	x1	y1	chromosome_8	3364838	3401687	36850
PTQ588	x1	y1	chromosome_15	1817084	1916181	99098
PTQ589	x1	y1	chromosome_14	2631388	2698124	66737
PTQ591	x1	y1	chromosome_12	9550072	9601339	51268
PTQ594	x1	y1	chromosome_2	7607380	7638103	30724
PTQ595	y1	x1	chromosome_17	2014630	2068887	54258
PTQ596	x1	y1	chromosome_2	3241805	3252443	10639
PTQ598	y1	x1	chromosome_5	858997	919221	60225
PTQ599	y1	x1	chromosome_10	2982634	3035799	53166
PTQ601	y1	x1	chromosome_16	7143721	7248897	105177
PTQ602	x1	y1	chromosome_7	5256041	5320416	64376
PTQ603	x1	y1	chromosome_6	1340266	1387839	47574
PTQ606	x1	y1	chromosome_16	3024571	3061821	37251
PTQ609	y1	x1	chromosome_10	5180430	5243042	62613
PTQ611	y1	x1	chromosome_14	1431779	1483494	51716
PTQ613	y1	x1	chromosome_12	7401229	7439330	38102
PTQ614	x1	y1	chromosome_8	4091634	4216035	124402
PTQ616	x1	y1	chromosome_3	4406247	4475381	69135
PTQ617	x1	y1	chromosome_13	4637139	4664832	27694
PTQ619	y1	x1	chromosome_14	777874	853451	75578
PTQ620	y1	x1	chromosome_13	254905	285681	30777
PTQ621	y1	x1	chromosome_6	4831139	4975508	144370
PTQ625	y1	x1	chromosome_10	6235408	6287295	51888
PTQ626	x1	y1	chromosome_3	4692234	4724325	32092
PTQ631	x1	y1	chromosome_9	7784496	7810745	26250
PTQ632	x1	y1	chromosome_12	4984763	5001080	16318
PTQ637	x1	y1	chromosome_11	1028058	1043405	15348
PTQ643	y1	x1	chromosome_3	8447768	8498990	51223
PTQ644	y1	x1	chromosome_10	1907241	1957907	50667
PTQ648	x1	y1	chromosome_16	6858519	6914597	56079
PTQ654	x1	y1	chromosome_2	8612069	8663593	51525
PTQ657	y1	x1	chromosome_12	8897727	9057106	159380
PTQ658	x1	y1	chromosome_12	4736055	4801915	65861
PTQ659	x1	y1	chromosome_1	7135969	7192850	56882
PTQ660	x1	y1	chromosome_16	1867606	1974544	106939
PTQ661	x1	y1	chromosome_1	2423793	2469218	45426
PTQ662	x1	y1	chromosome_6	653569	842383	188815
PTQ663	x1	y1	chromosome_3	3355207	3394712	39506
PTQ664	y1	x1	chromosome_7	1965697	2017852	52156
PTQ665	y1	x1	chromosome_10	4002572	4044097	41526
PTQ666	y1	x1	chromosome_3	4176770	4257703	80934
PTQ669	x1	y1	chromosome_10	1377599	1424846	47248
PTQ670	x1	y1	chromosome_6	1615572	1815855	200284
